timestamp,arbitration_id,payload_hex
1698770000.001,0x100,0001000000000000
1698770000.005,0x200,FF00FF00FF00FF00
1698770000.012,0x300,000000DEADBEEF00
1698770000.015,0x100,0002000000000000
1698770000.022,0x400,11223344556677889900AABBCCDDEEFF11223344
1698770000.030,0x100,0003000000000000
1698770000.035,0x500,AA00000000000000
1698770000.041,0x200,FF00FF00FF00FF00
1698770000.045,0x100,0004000000000000
1698770000.050,0x300,111111DEADBEEF11
1698770000.055,0x500,FF00000000000000
1698770000.060,0x100,0005000000000000
1698770000.065,0x200,00FF00FF00FF00FF
1698770000.070,0x400,99887766554433221100FFEEDDCCBBAA
1698770000.075,0x100,0006000000000000
1698770000.080,0x7E8,03410D0000000000
1698770000.085,0x500,AA01010101010101
1698770000.090,0x100,0007000000000000
1698770000.095,0x300,222222DEADBEEF22
1698770000.100,0x200,00FF00FF00FF00FF
1698770000.105,0x100,0008000000000000
1698770000.110,0x500,FF02020202020202
1698770000.115,0x600,01
1698770000.120,0x100,0009000000000000
1698770000.125,0x400,123456789ABCDEF0123456789ABCDEF0
1698770000.130,0x100,000A000000000000
1698770000.135,0x300,333333DEADBEEF33
1698770000.140,0x200,0000000000000000
1698770000.145,0x100,000B000000000000
1698770000.150,0x500,AA03030303030303
1698770000.155,0x600,0102
1698770000.160,0x100,000C000000000000
1698770000.165,0x7E8,101462F19056494E
1698770000.170,0x100,000D000000000000
1698770000.175,0x200,FFFFFFFFFFFFFFFF
1698770000.180,0x300,444444DEADBEEF44
1698770000.185,0x100,000E000000000000
1698770000.190,0x400,AABBCCDDEEFF00112233445566778899
1698770000.195,0x500,FF04040404040404
1698770000.200,0x100,000F000000000000
